,flux,unix_time
0,9.63,1658132888.1957333
1,10.31,1658132888.2848105
2,10.66,1658132888.3156679
3,10.83,1658132888.3403277
4,10.91,1658132888.355689
5,10.96,1658132888.37087
6,10.98,1658132888.3873785
7,10.99,1658132888.4055538
8,10.99,1658132888.421724
9,11.0,1658132888.4376402
10,11.0,1658132888.454203
11,11.0,1658132888.4697118
12,11.0,1658132888.4828913
13,11.5,1658132888.4936168
14,11.75,1658132888.5060208
15,11.87,1658132888.5203497
16,11.94,1658132888.533269
17,11.47,1658132888.5448234
18,11.23,1658132888.5578809
19,11.12,1658132888.5710633
20,11.56,1658132888.5866675
21,11.78,1658132888.5997875
22,11.89,1658132888.6198685
23,11.94,1658132888.6691623
24,11.97,1658132888.7222743
25,11.99,1658132888.7715147
26,11.99,1658132888.821265
27,12.0,1658132888.874316
28,12.0,1658132888.9232705
29,12.0,1658132888.9765704
30,12.0,1658132889.0256424
31,12.0,1658132889.0789413
32,12.0,1658132889.1281393
33,12.0,1658132889.1772795
34,12.0,1658132889.2307773
35,12.0,1658132889.2794268
36,12.0,1658132889.332778
37,12.0,1658132889.3819067
38,12.0,1658132889.4354126
39,12.0,1658132889.4843307
40,12.0,1658132889.538039
41,12.0,1658132889.5868046
42,12.0,1658132889.6361947
43,12.0,1658132889.6890402
44,12.0,1658132889.7382362
45,12.0,1658132889.7917533
46,12.0,1658132889.8406792
47,12.0,1658132889.8940256
48,12.0,1658132889.9430778
49,12.0,1658132889.996237
50,12.0,1658132890.0454016
51,12.0,1658132890.094599
52,12.0,1658132890.1480603
53,12.0,1658132890.1969016
54,12.0,1658132890.2501535
55,12.0,1658132890.299413
56,12.0,1658132890.3529708
57,12.0,1658132890.401792
58,12.0,1658132890.450957
59,12.0,1658132890.504198
60,12.0,1658132890.553452
61,12.0,1658132890.6067472
62,12.0,1658132890.6556907
63,12.0,1658132890.708951
64,12.0,1658132890.7583647
65,12.0,1658132890.811434
66,12.0,1658132890.8607557
67,12.0,1658132890.9097247
68,12.0,1658132890.9628015
69,12.0,1658132891.0121567
70,12.0,1658132891.0655406
71,12.0,1658132891.1145198
72,12.0,1658132891.1677694
73,12.0,1658132891.2168238
74,12.0,1658132891.2702708
75,12.0,1658132891.3191288
76,12.0,1658132891.3682988
77,12.0,1658132891.4218175
78,12.0,1658132891.4708118
79,12.0,1658132891.5240102
80,12.0,1658132891.5733438
81,12.0,1658132891.626597
82,12.0,1658132891.6755922
83,12.0,1658132891.7248704
84,12.0,1658132891.7781763
85,12.0,1658132891.8271894
86,12.0,1658132891.8803606
87,11.5,1658132891.9295352
88,11.25,1658132891.9828248
89,10.63,1658132892.0319548
90,10.31,1658132892.0855484
91,10.16,1658132892.1341925
92,6.08,1658132892.183474
93,4.04,1658132892.2370832
94,2.52,1658132892.285915
95,1.76,1658132892.334954
96,3.38,1658132892.3884304
97,4.19,1658132892.4376504
98,4.59,1658132892.4904926
99,8.3,1658132892.5399754
100,10.15,1658132892.5930219
101,11.07,1658132892.6423767
102,11.54,1658132892.6956165
103,11.77,1658132892.7446475
104,11.88,1658132892.7979407
105,11.94,1658132892.8469224
106,11.97,1658132892.9001472
107,11.99,1658132892.9497137
108,11.99,1658132892.998584
109,12.0,1658132893.0517375
110,12.0,1658132893.1009626
111,12.0,1658132893.1544933
112,12.0,1658132893.2037454
113,12.0,1658132893.2563643
114,12.0,1658132893.3062766
115,12.0,1658132893.3554125
