,flux,unix_time
0,22.0,1651835004.5569801
1,22.0,1651835004.6218479
2,22.0,1651835004.6405144
3,22.0,1651835004.657797
4,22.0,1651835004.7602062
5,22.0,1651835004.8586173
6,22.0,1651835004.9609363
7,22.0,1651835005.059293
8,22.0,1651835005.1616616
9,22.0,1651835005.2641523
10,22.0,1651835005.362804
11,22.0,1651835005.4651005
12,22.0,1651835005.567355
13,22.0,1651835005.6659515
14,22.0,1651835005.768186
15,22.0,1651835005.8706524
16,22.0,1651835005.9689424
17,22.0,1651835006.0712478
18,22.0,1651835006.1736782
19,22.0,1651835006.271984
20,22.0,1651835006.3744571
21,22.0,1651835006.4767478
22,22.0,1651835006.5750878
23,22.0,1651835006.677401
24,22.0,1651835006.7799263
25,22.0,1651835006.8782415
26,22.0,1651835006.9806576
27,22.0,1651835007.082936
28,22.0,1651835007.181171
29,22.0,1651835007.2835095
30,22.0,1651835007.3822033
31,22.0,1651835007.4845774
32,22.0,1651835007.5867817
33,22.0,1651835007.6850753
34,22.0,1651835007.7875345
35,22.0,1651835007.8899014
36,22.0,1651835007.9883504
37,22.0,1651835008.0907478
38,22.0,1651835008.1930134
39,22.0,1651835008.291519
40,22.0,1651835008.3937595
41,22.0,1651835008.4960215
42,22.0,1651835008.5945039
43,22.0,1651835008.696821
44,22.0,1651835008.7994356
45,22.0,1651835008.8974667
46,22.0,1651835009.000105
47,22.0,1651835009.1022937
48,22.0,1651835009.2006938
49,22.0,1651835009.3034508
50,22.0,1651835009.4055068
51,22.0,1651835009.503799
52,22.0,1651835009.6062405
53,22.0,1651835009.7086499
54,22.0,1651835009.8070643
55,22.0,1651835009.909283
56,22.0,1651835010.007637
57,22.0,1651835010.1100318
58,22.0,1651835010.2125835
59,22.0,1651835010.3107412
60,22.0,1651835010.4133196
61,22.0,1651835010.515449
62,22.0,1651835010.6139338
63,22.0,1651835010.7163625
64,22.0,1651835010.8187292
65,22.0,1651835010.9170396
66,22.0,1651835011.0195487
67,22.0,1651835011.1216605
68,22.0,1651835011.2201076
69,22.0,1651835011.322576
70,22.0,1651835011.4248528
71,22.0,1651835011.5233572
72,22.0,1651835011.6256604
73,22.0,1651835011.7278647
74,22.0,1651835011.8262155
75,22.0,1651835011.9288054
76,22.0,1651835012.0309412
77,22.0,1651835012.129333
78,22.0,1651835012.2317598
79,22.0,1651835012.330291
80,22.0,1651835012.4326172
81,22.0,1651835012.534917
82,22.0,1651835012.6332264
83,22.0,1651835012.7356882
84,22.0,1651835012.8381286
85,22.0,1651835012.9363334
86,22.0,1651835013.0386527
87,22.0,1651835013.1410406
88,22.0,1651835013.2394612
89,22.0,1651835013.3419073
90,22.0,1651835013.4441118
91,22.0,1651835013.542665
92,22.0,1651835013.6449785
93,22.0,1651835013.7472434
94,22.0,1651835013.8456628
95,22.0,1651835013.9479473
96,22.0,1651835014.0503798
97,22.0,1651835014.148885
98,22.0,1651835014.2511923
99,22.0,1651835014.3535113
100,22.0,1651835014.451896
101,22.0,1651835014.5542617
102,22.0,1651835014.6526613
103,22.0,1651835014.755008
104,22.0,1651835014.8573925
105,22.0,1651835014.9555392
106,22.0,1651835015.058108
107,22.0,1651835015.1603012
108,22.0,1651835015.2590055
109,22.0,1651835015.3612068
110,22.0,1651835015.4634688
111,22.0,1651835015.562038
112,22.0,1651835015.6642945
113,22.0,1651835015.766891
114,22.0,1651835015.864741
115,22.0,1651835015.967075
116,22.0,1651835016.0697358
117,22.0,1651835016.168198
118,22.0,1651835016.2703056
119,22.0,1651835016.372879
120,22.0,1651835016.4713242
121,22.0,1651835016.5736706
122,22.0,1651835016.6758835
123,22.0,1651835016.7744243
124,22.0,1651835016.8767893
125,22.0,1651835016.975286
126,22.0,1651835017.0773833
127,22.0,1651835017.179903
128,22.0,1651835017.2781715
129,22.0,1651835017.3806882
130,22.0,1651835017.483081
131,22.0,1651835017.5812197
132,22.0,1651835017.683689
133,21.5,1651835017.7861698
134,21.25,1651835017.8845575
135,21.12,1651835017.9868705
136,20.56,1651835018.0893261
137,19.78,1651835018.18763
138,18.89,1651835018.2900248
139,18.45,1651835018.3922625
140,17.72,1651835018.490567
141,16.86,1651835018.592968
142,15.93,1651835018.6954982
143,14.97,1651835018.793772
144,13.98,1651835018.8961222
145,12.99,1651835018.998507
146,12.5,1651835019.0969877
147,12.25,1651835019.1992633
148,12.12,1651835019.3015943
149,12.56,1651835019.400075
150,12.78,1651835019.5024152
151,12.89,1651835019.6007793
152,12.95,1651835019.7033463
153,12.97,1651835019.8055565
154,13.49,1651835019.9037318
155,13.74,1651835020.0061057
156,14.37,1651835020.108271
157,15.19,1651835020.2071376
158,16.59,1651835020.309413
159,17.8,1651835020.4116318
160,18.4,1651835020.5099504
161,19.2,1651835020.6124778
162,19.6,1651835020.7148664
163,19.8,1651835020.8133218
164,20.4,1651835020.915615
165,20.7,1651835021.0178635
166,20.85,1651835021.116266
167,21.42,1651835021.2186346
168,21.71,1651835021.3209887
169,21.86,1651835021.41936
170,21.93,1651835021.521656
171,21.96,1651835021.624049
172,21.98,1651835021.7226186
173,21.99,1651835021.8249276
174,22.0,1651835021.9271667
175,22.0,1651835022.0255287
176,22.0,1651835022.1278577
177,22.0,1651835022.2302654
178,22.0,1651835022.3285587
179,22.0,1651835022.431033
180,22.0,1651835022.5293114
181,22.0,1651835022.6317644
182,22.0,1651835022.734213
183,22.0,1651835022.8325129
184,22.0,1651835022.9349816
185,22.0,1651835023.0372107
186,22.0,1651835023.1356018
187,22.0,1651835023.2380064
188,22.0,1651835023.3404057
189,22.0,1651835023.4388065
190,22.0,1651835023.5410304
191,22.0,1651835023.6433692
192,22.0,1651835023.7417612
193,22.0,1651835023.844216
194,22.0,1651835023.9466238
195,22.0,1651835024.0448873
196,22.0,1651835024.147389
197,22.0,1651835024.2496357
198,22.0,1651835024.3480363
199,22.0,1651835024.4503324
200,22.0,1651835024.5529025
201,22.0,1651835024.6510918
202,22.0,1651835024.7536135
203,22.0,1651835024.8519013
204,22.0,1651835024.9543734
205,22.0,1651835025.0567024
206,22.0,1651835025.1551204
207,22.0,1651835025.2575097
208,22.0,1651835025.3597386
209,22.0,1651835025.458271
210,22.0,1651835025.560543
211,22.0,1651835025.662768
212,22.0,1651835025.7611632
213,22.0,1651835025.8635676
214,22.0,1651835025.9659922
215,22.0,1651835026.0644484
216,22.0,1651835026.1667557
217,22.0,1651835026.269044
218,22.0,1651835026.367293
219,22.0,1651835026.469919
220,22.0,1651835026.5720818
221,22.0,1651835026.6705816
222,22.0,1651835026.7729483
223,22.0,1651835026.8751621
224,22.0,1651835026.973672
225,22.0,1651835027.0759168
226,22.0,1651835027.1744096
227,22.0,1651835027.276707
228,22.0,1651835027.3790927
229,22.0,1651835027.4773445
230,22.0,1651835027.5798998
231,22.0,1651835027.6822248
232,22.0,1651835027.7804952
233,22.0,1651835027.8830986
234,22.0,1651835027.9854271
235,22.0,1651835028.08354
236,22.0,1651835028.1860309
237,22.0,1651835028.288425
238,22.0,1651835028.3869007
239,22.0,1651835028.4891107
240,22.0,1651835028.5914857
241,22.0,1651835028.69004
242,22.0,1651835028.7922342
243,22.0,1651835028.8946452
244,22.0,1651835028.9930027
245,22.0,1651835029.0954287
246,22.0,1651835029.1976786
247,22.0,1651835029.296182
248,22.0,1651835029.3986197
249,22.0,1651835029.4969375
250,22.0,1651835029.599391
251,22.0,1651835029.7016854
252,22.0,1651835029.800055
253,22.0,1651835029.902331
254,22.0,1651835030.0045996
255,22.0,1651835030.1030457
256,22.0,1651835030.2055411
257,22.0,1651835030.307784
258,22.0,1651835030.4061337
259,22.0,1651835030.5084991
260,22.0,1651835030.6111531
261,22.0,1651835030.7094107
262,22.0,1651835030.8117025
263,22.0,1651835030.9139826
264,22.0,1651835031.012602
265,22.0,1651835031.1147196
266,22.0,1651835031.2170587
267,22.0,1651835031.31553
268,22.0,1651835031.4178984
269,22.0,1651835031.5202196
270,22.0,1651835031.6187394
271,22.0,1651835031.7209213
272,22.0,1651835031.819403
273,22.0,1651835031.921686
274,22.0,1651835032.023981
275,22.0,1651835032.1224084
276,22.0,1651835032.2247372
277,22.0,1651835032.3271978
278,22.0,1651835032.425439
279,22.0,1651835032.527869
280,22.0,1651835032.63018
281,22.0,1651835032.7287946
282,22.0,1651835032.8311036
283,22.0,1651835032.9335012
284,22.0,1651835033.0318043
285,22.0,1651835033.1342254
286,22.0,1651835033.2364597
287,22.0,1651835033.335049
288,22.0,1651835033.4371893
289,22.0,1651835033.539714
290,22.0,1651835033.6380863
291,22.0,1651835033.7402687
292,22.0,1651835033.8426538
293,22.0,1651835033.9412086
294,22.0,1651835034.0434783
295,22.0,1651835034.145981
296,22.0,1651835034.244182
297,22.0,1651835034.3465087
298,22.0,1651835034.4449215
299,22.0,1651835034.5472925
300,22.0,1651835034.6497853
301,22.0,1651835034.7480867
302,22.0,1651835034.8503547
303,22.0,1651835034.9528246
304,22.0,1651835035.0511422
305,22.0,1651835035.1536798
306,22.0,1651835035.2558296
307,22.0,1651835035.354204
308,22.0,1651835035.4566197
309,22.0,1651835035.5588713
310,22.0,1651835035.657457
311,22.0,1651835035.7596722
312,22.0,1651835035.8621275
313,22.0,1651835035.9604414
314,22.0,1651835036.0628808
315,22.0,1651835036.165182
316,22.0,1651835036.2635453
317,22.0,1651835036.365974
318,22.0,1651835036.4682016
319,22.0,1651835036.5667703
320,22.0,1651835036.669173
321,22.0,1651835036.76733
322,22.0,1651835036.8698657
323,22.0,1651835036.972003
324,22.0,1651835037.070361
325,22.0,1651835037.1725729
326,22.0,1651835037.2750332
327,22.0,1651835037.3735948
328,22.0,1651835037.4760184
329,22.0,1651835037.5781863
330,22.0,1651835037.6767814
331,22.0,1651835037.7791731
332,22.0,1651835037.8814921
333,22.0,1651835037.979869
334,22.0,1651835038.0821233
335,22.0,1651835038.1845675
336,22.0,1651835038.2828503
337,22.0,1651835038.3853753
338,22.0,1651835038.4876876
339,22.0,1651835038.5862365
340,22.0,1651835038.6884763
341,22.0,1651835038.790707
342,22.0,1651835038.8892608
343,22.0,1651835038.9914532
344,22.0,1651835039.0898724
345,22.0,1651835039.1922789
346,22.0,1651835039.2946608
347,22.0,1651835039.3929646
348,22.0,1651835039.495487
349,22.0,1651835039.5977108
350,22.0,1651835039.6961825
351,22.0,1651835039.7985468
352,22.0,1651835039.9007509
353,22.0,1651835039.9991
354,22.0,1651835040.1014776
355,22.0,1651835040.2040079
356,22.0,1651835040.302377
357,22.0,1651835040.4046917
358,22.0,1651835040.5069509
359,22.0,1651835040.605391
360,22.0,1651835040.707926
361,22.0,1651835040.8101265
362,22.0,1651835040.9084888
363,22.0,1651835041.0108972
364,22.0,1651835041.1131208
365,22.0,1651835041.211659
366,22.0,1651835041.3138642
367,22.0,1651835041.4124248
368,22.0,1651835041.5147066
369,22.0,1651835041.6170504
370,22.0,1651835041.7155132
371,22.0,1651835041.8176446
372,22.0,1651835041.9201643
373,22.0,1651835042.018699
374,22.0,1651835042.121007
375,22.0,1651835042.223431
376,22.0,1651835042.3218048
377,22.0,1651835042.4240627
378,22.0,1651835042.5264187
379,22.0,1651835042.6248982
380,22.0,1651835042.7271216
381,22.0,1651835042.829581
382,22.0,1651835042.9278681
383,22.0,1651835043.0301619
384,22.0,1651835043.132566
385,22.0,1651835043.2309184
386,22.0,1651835043.3334303
387,22.0,1651835043.435676
388,22.0,1651835043.5341332
389,22.0,1651835043.6364243
390,22.0,1651835043.7388694
391,22.0,1651835043.8371477
392,22.0,1651835043.9396703
393,22.0,1651835044.0378375
394,22.0,1651835044.1401849
395,22.0,1651835044.242633
396,22.0,1651835044.3409388
397,22.0,1651835044.4436436
398,22.0,1651835044.5456684
399,22.0,1651835044.644157
400,22.0,1651835044.7466204
401,22.0,1651835044.848937
402,22.0,1651835044.9471211
403,22.0,1651835045.0496504
404,22.0,1651835045.152111
405,22.0,1651835045.2503624
406,22.0,1651835045.3526113
407,22.0,1651835045.4551475
408,22.0,1651835045.5534503
409,22.0,1651835045.656
410,22.0,1651835045.7581055
411,22.0,1651835045.8567772
412,22.0,1651835045.9588735
413,22.0,1651835046.0612903
414,22.0,1651835046.159709
415,22.0,1651835046.262157
416,22.0,1651835046.360388
417,22.0,1651835046.4628541
418,22.0,1651835046.565111
419,22.0,1651835046.663621
420,22.0,1651835046.7660222
421,22.0,1651835046.8681624
422,22.0,1651835046.9667795
423,22.0,1651835047.0690265
424,22.0,1651835047.1714287
425,22.0,1651835047.2696471
426,22.0,1651835047.3719544
427,22.0,1651835047.4743974
428,22.0,1651835047.572871
429,22.0,1651835047.6751804
430,22.0,1651835047.7775671
431,22.0,1651835047.8758419
432,22.0,1651835047.9782054
433,22.0,1651835048.0807064
434,22.0,1651835048.179057
435,22.0,1651835048.2812686
436,22.0,1651835048.3837554
437,22.0,1651835048.4821074
438,22.0,1651835048.584635
439,22.0,1651835048.6828237
440,22.0,1651835048.785401
441,22.0,1651835048.8877022
442,22.0,1651835048.98587
443,22.0,1651835049.0884416
444,22.0,1651835049.1907535
445,22.0,1651835049.2890003
446,22.0,1651835049.39145
447,22.0,1651835049.4934888
448,22.0,1651835049.5920482
449,22.0,1651835049.6946716
450,22.0,1651835049.7967963
451,22.0,1651835049.8954086
452,22.0,1651835049.997688
453,22.0,1651835050.1000705
454,22.0,1651835050.1985252
455,22.0,1651835050.3008866
456,22.0,1651835050.403212
457,22.0,1651835050.501603
458,22.0,1651835050.6039724
459,22.0,1651835050.7064204
460,22.0,1651835050.804776
461,22.0,1651835050.9070985
462,22.0,1651835051.0053556
463,22.0,1651835051.1077342
464,22.0,1651835051.210177
465,22.0,1651835051.3083649
466,22.0,1651835051.410943
467,22.0,1651835051.5133538
468,22.0,1651835051.6117811
469,22.0,1651835051.713976
470,22.0,1651835051.8163357
471,22.0,1651835051.9146554
472,22.0,1651835052.0172198
473,22.0,1651835052.1192753
474,22.0,1651835052.217849
475,22.0,1651835052.3201158
476,22.0,1651835052.4226744
477,22.0,1651835052.521051
478,22.0,1651835052.6233146
479,22.0,1651835052.7255158
480,22.0,1651835052.8240108
481,22.0,1651835052.926223
482,22.0,1651835053.0287807
483,22.0,1651835053.127013
484,22.0,1651835053.229534
485,22.0,1651835053.3318017
486,22.0,1651835053.430132
487,22.0,1651835053.5326898
488,22.0,1651835053.630888
489,22.0,1651835053.733205
490,22.0,1651835053.8358047
491,22.0,1651835053.9339988
492,22.0,1651835054.0364382
493,22.0,1651835054.1388214
494,22.0,1651835054.2371497
495,22.0,1651835054.3395917
496,22.0,1651835054.4418125
497,22.0,1651835054.5402608
498,22.0,1651835054.642626
499,22.0,1651835054.745076
500,22.0,1651835054.8433995
501,22.0,1651835054.9457266
502,22.0,1651835055.0480595
503,22.0,1651835055.1465597
504,22.0,1651835055.2488875
505,22.0,1651835055.3512523
506,22.0,1651835055.4496622
507,22.0,1651835055.551998
508,22.0,1651835055.6542916
509,22.0,1651835055.7528553
510,22.0,1651835055.8551066
511,22.0,1651835055.9536407
512,22.0,1651835056.0559206
513,22.0,1651835056.1580768
514,22.0,1651835056.256604
515,21.5,1651835056.3588524
516,21.25,1651835056.461351
517,21.12,1651835056.5596106
518,21.06,1651835056.661927
519,20.53,1651835056.7643223
520,20.27,1651835056.862904
521,19.13,1651835056.9651196
522,18.07,1651835057.0672243
523,17.53,1651835057.165895
524,17.27,1651835057.2681777
525,16.63,1651835057.3704972
526,15.82,1651835057.468925
527,14.91,1651835057.5713472
528,13.95,1651835057.6734684
529,13.48,1651835057.7719502
530,12.74,1651835057.8744721
531,12.37,1651835057.9767509
532,12.18,1651835058.075157
533,12.59,1651835058.1775851
534,12.8,1651835058.2797914
535,12.9,1651835058.3782787
536,12.95,1651835058.4805982
537,12.97,1651835058.578915
538,12.99,1651835058.681431
539,13.49,1651835058.783539
540,13.75,1651835058.8820596
541,14.37,1651835058.98436
542,15.69,1651835059.0870075
543,16.84,1651835059.1852849
544,17.42,1651835059.2877035
545,18.21,1651835059.389972
546,19.11,1651835059.4884536
547,19.55,1651835059.5907285
548,19.78,1651835059.693126
549,20.39,1651835059.7914557
550,20.69,1651835059.8938074
551,20.85,1651835059.9960527
552,20.92,1651835060.094453
553,21.46,1651835060.196924
554,21.73,1651835060.2991858
555,21.87,1651835060.3977513
556,21.93,1651835060.4999216
557,21.97,1651835060.6024332
558,21.98,1651835060.7008042
559,21.99,1651835060.8031795
560,22.0,1651835060.9053934
561,22.0,1651835061.0037317
562,22.0,1651835061.1061358
563,22.0,1651835061.2083032
564,22.0,1651835061.3068888
565,22.0,1651835061.4091613
566,22.0,1651835061.5076528
567,22.0,1651835061.6097748
568,22.0,1651835061.7121203
569,22.0,1651835061.8105664
570,22.0,1651835061.913281
571,22.0,1651835062.0153065
572,22.0,1651835062.1137936
573,22.0,1651835062.2163491
574,22.0,1651835062.318605
575,22.0,1651835062.4169936
576,22.0,1651835062.519245
577,22.0,1651835062.6217737
578,22.0,1651835062.7202728
579,22.0,1651835062.8223698
580,22.0,1651835062.9246957
581,22.0,1651835063.023334
582,22.0,1651835063.1255367
583,22.0,1651835063.2277722
584,22.0,1651835063.3261645
585,22.0,1651835063.4286127
586,22.0,1651835063.531044
587,22.0,1651835063.6292298
588,22.0,1651835063.7318146
589,22.0,1651835063.8300583
590,22.0,1651835063.9324675
591,22.0,1651835064.034722
592,22.0,1651835064.1334174
593,22.0,1651835064.2358027
594,22.0,1651835064.3377075
595,22.0,1651835064.4363992
596,22.0,1651835064.538778
597,22.0,1651835074.8226717
598,22.0,1651835074.8406487
599,22.0,1651835074.8643944
600,22.0,1651835074.8790882
601,22.0,1651835074.894029
602,22.0,1651835074.909185
603,22.0,1651835074.924324
604,22.0,1651835074.938443
605,22.0,1651835074.9459052
606,22.0,1651835074.953693
607,22.0,1651835074.9606092
608,22.0,1651835074.9671137
609,22.0,1651835074.9777
610,22.0,1651835074.9874935
611,22.0,1651835074.9975584
612,22.0,1651835075.005491
613,22.0,1651835075.0130267
614,22.0,1651835075.019579
615,22.0,1651835075.0261467
616,22.0,1651835075.0322247
617,22.0,1651835075.0385451
618,22.0,1651835075.0449147
619,22.0,1651835075.0510592
620,22.0,1651835075.0576446
621,22.0,1651835075.0637486
622,22.0,1651835075.0699925
623,22.0,1651835075.0761528
624,22.0,1651835075.0822563
625,22.0,1651835075.0886197
626,22.0,1651835075.0949607
627,22.0,1651835075.101056
628,22.0,1651835075.1076536
629,22.0,1651835075.1137555
630,22.0,1651835075.1201205
631,22.0,1651835075.1265137
632,22.0,1651835075.132593
633,22.0,1651835075.1389787
634,22.0,1651835075.1453025
635,22.0,1651835075.15154
636,22.0,1651835075.1581626
637,22.0,1651835075.164534
638,22.0,1651835075.1708162
639,22.0,1651835075.177089
640,22.0,1651835075.1832461
641,22.0,1651835075.189793
642,22.0,1651835075.1960049
643,22.0,1651835075.2025743
644,22.0,1651835075.2089365
645,22.0,1651835075.2150936
646,22.0,1651835075.2214165
647,22.0,1651835075.22766
648,22.0,1651835075.233814
649,22.0,1651835075.2406068
650,22.0,1651835075.2473986
651,22.0,1651835075.2538297
652,22.0,1651835075.259949
653,22.0,1651835075.2660437
654,22.0,1651835075.2724092
655,22.0,1651835075.278666
656,22.0,1651835075.2849543
657,22.0,1651835075.2915528
658,22.0,1651835075.2976975
659,22.0,1651835075.3040237
660,22.0,1651835075.3103595
661,22.0,1651835075.316419
662,22.0,1651835075.3230202
663,22.0,1651835075.3291316
664,22.0,1651835075.335757
665,22.0,1651835075.3418922
666,22.0,1651835075.3480265
667,22.0,1651835075.3542511
668,22.0,1651835075.3604054
669,22.0,1651835075.3666127
670,22.0,1651835075.3734112
671,22.0,1651835075.3805988
672,22.0,1651835075.3873725
673,22.0,1651835075.395144
674,22.0,1651835075.401726
675,22.0,1651835075.4089973
676,22.0,1651835075.4152806
677,22.0,1651835075.4229233
678,22.0,1651835075.4293318
679,22.0,1651835075.4369776
680,22.0,1651835075.4435763
681,22.0,1651835075.4504995
682,22.0,1651835075.458422
683,22.0,1651835075.4652302
684,22.0,1651835075.4728324
685,22.0,1651835075.4792936
686,22.0,1651835075.487111
687,22.0,1651835075.493465
688,22.0,1651835075.5005956
689,22.0,1651835075.5074792
690,22.0,1651835075.5146143
691,22.0,1651835075.521447
692,22.0,1651835075.5293078
693,22.0,1651835075.536948
694,22.0,1651835075.5434268
695,22.0,1651835075.5502267
696,22.0,1651835075.5572367
697,22.0,1651835075.5640783
698,22.0,1651835075.5705814
699,22.0,1651835075.577588
700,22.0,1651835075.5836222
701,22.0,1651835075.5927684
702,22.0,1651835075.6002715
703,22.0,1651835075.607686
704,22.0,1651835075.614441
705,22.0,1651835075.6207695
706,22.0,1651835075.6468832
707,22.0,1651835075.745573
708,22.0,1651835075.847872
709,22.0,1651835075.9502647
710,22.0,1651835076.0482864
711,22.0,1651835076.1510167
712,22.0,1651835076.2531693
713,22.0,1651835076.3514867
714,22.0,1651835076.4541187
715,22.0,1651835076.5563402
716,22.0,1651835076.6545463
717,22.0,1651835076.7571921
718,22.0,1651835076.8595705
719,22.0,1651835076.958097
720,22.0,1651835077.0603602
721,22.0,1651835077.162815
722,22.0,1651835077.2608058
723,22.0,1651835077.3632047
724,22.0,1651835077.4655225
725,22.0,1651835077.564218
726,22.0,1651835077.666648
727,22.0,1651835077.7687857
728,22.0,1651835077.8670394
729,22.0,1651835077.9695568
