,flux,unix_time
0,23.0,1651834360.1094494
1,23.0,1651834360.1775882
2,23.0,1651834360.1930988
3,23.0,1651834360.208911
4,23.0,1651834360.2723057
5,23.0,1651834360.370966
6,23.0,1651834360.4737062
7,23.0,1651834360.5753684
8,23.0,1651834360.6737967
9,23.0,1651834360.7760758
10,23.0,1651834360.8784618
11,23.0,1651834360.9767506
12,23.0,1651834361.0795543
13,23.0,1651834361.1778638
14,23.0,1651834361.2801685
15,23.0,1651834361.382572
16,23.0,1651834361.4808562
17,23.0,1651834361.5833876
18,23.0,1651834361.6855736
19,23.0,1651834361.78403
20,23.0,1651834361.8863358
21,23.0,1651834361.9886644
22,23.0,1651834362.0871706
23,23.0,1651834362.1895664
24,23.0,1651834362.2918546
25,23.0,1651834362.3901753
26,23.0,1651834362.4924958
27,23.0,1651834362.5949426
28,23.0,1651834362.693489
29,23.0,1651834362.7957456
30,23.0,1651834362.8979282
31,23.0,1651834362.9963696
32,23.0,1651834363.0986505
33,23.0,1651834363.2010458
34,23.0,1651834363.2994764
35,23.0,1651834363.401832
36,23.0,1651834363.5002139
37,23.0,1651834363.6024976
38,23.0,1651834363.704818
39,23.0,1651834363.8030827
40,23.0,1651834363.9056714
41,23.0,1651834364.0078783
42,23.0,1651834364.1064353
43,23.0,1651834364.2086127
44,23.0,1651834364.3110878
45,23.0,1651834364.4094167
46,23.0,1651834364.5118945
47,23.0,1651834364.6139646
48,23.0,1651834364.712609
49,23.0,1651834364.8149767
50,23.0,1651834364.9171531
51,23.0,1651834365.0154998
52,23.0,1651834365.1175919
53,23.0,1651834365.2200005
54,23.0,1651834365.3183048
55,23.0,1651834365.4206905
56,23.0,1651834365.5230377
57,23.0,1651834365.6218853
58,23.0,1651834365.7241035
59,23.0,1651834365.8227983
60,23.0,1651834365.9252517
61,23.0,1651834366.027248
62,23.0,1651834366.125752
63,23.0,1651834366.2279758
64,23.0,1651834366.3303072
65,23.0,1651834366.4288685
66,23.0,1651834366.5311525
67,23.0,1651834366.633476
68,23.0,1651834366.7316694
69,23.0,1651834366.8341556
70,23.0,1651834366.9363348
71,23.0,1651834367.0348449
72,23.0,1651834367.1370518
73,23.0,1651834367.2394443
74,23.0,1651834367.3378332
75,23.0,1651834367.4403472
76,23.0,1651834367.5424514
77,23.0,1651834367.641108
78,23.0,1651834367.7433066
79,23.0,1651834367.8457382
80,23.0,1651834367.9441588
81,23.0,1651834368.0463796
82,23.0,1651834368.1448836
83,23.0,1651834368.2471423
84,23.0,1651834368.3494565
85,23.0,1651834368.4478815
86,23.0,1651834368.55028
87,23.0,1651834368.6524997
88,23.0,1651834368.7509642
89,23.0,1651834368.8533428
90,23.0,1651834368.955716
91,23.0,1651834369.0540352
92,23.0,1651834369.1563106
93,23.0,1651834369.2587025
94,23.0,1651834369.3570457
95,23.0,1651834369.4595907
96,23.0,1651834369.561947
97,23.0,1651834369.660155
98,23.0,1651834369.7626326
99,23.0,1651834369.865004
100,23.0,1651834369.9634178
101,23.0,1651834370.0658622
102,23.0,1651834370.1680071
103,23.0,1651834370.2662673
104,23.0,1651834370.3686802
105,23.0,1651834370.466954
106,23.0,1651834370.569316
107,23.0,1651834370.6717875
108,23.0,1651834370.7701695
109,23.0,1651834370.8724766
110,23.0,1651834370.974941
111,23.0,1651834371.073288
112,23.0,1651834371.1757
113,23.0,1651834371.2780616
114,23.0,1651834371.3764176
115,23.0,1651834371.478818
116,23.0,1651834371.5811515
117,23.0,1651834371.6794112
118,23.0,1651834371.7817385
119,23.0,1651834371.8841963
120,23.0,1651834371.982556
121,23.0,1651834372.0848513
122,23.0,1651834372.1872902
123,23.0,1651834372.285673
124,23.0,1651834372.3879025
125,23.0,1651834372.4899962
126,23.0,1651834372.5887406
127,23.0,1651834372.6910522
128,23.0,1651834372.7893748
129,23.0,1651834372.8918192
130,23.0,1651834372.994169
131,23.0,1651834373.09256
132,23.0,1651834373.1949794
133,23.0,1651834373.297127
134,23.0,1651834373.395772
135,23.0,1651834373.4979866
136,23.0,1651834373.6003735
137,23.0,1651834373.6987891
138,23.0,1651834373.801051
139,23.0,1651834373.9034584
140,23.0,1651834374.0017664
141,23.0,1651834374.1041775
142,23.0,1651834374.2065952
143,23.0,1651834374.304961
144,23.0,1651834374.4072745
145,23.0,1651834374.5095162
146,23.0,1651834374.6079383
147,23.0,1651834374.710397
148,23.0,1651834374.8125422
149,23.0,1651834374.9110093
150,23.0,1651834375.0134685
151,23.0,1651834375.1118362
152,23.0,1651834375.2139337
153,23.0,1651834375.3162768
154,23.0,1651834375.414925
155,23.0,1651834375.5168579
156,23.0,1651834375.6194358
157,23.0,1651834375.717955
158,23.0,1651834375.8202045
159,23.0,1651834375.9223316
160,23.0,1651834376.0206861
