,flux,unix_time
0,24.0,1651833937.3126936
1,24.0,1651833937.4039576
2,24.0,1651833937.4199584
3,24.0,1651833937.432475
4,24.0,1651833937.4410655
5,24.0,1651833937.4758859
6,24.0,1651833937.5738986
7,24.0,1651833937.676395
8,24.0,1651833937.7786665
9,24.0,1651833937.877007
10,24.0,1651833937.9794164
11,24.0,1651833938.081752
12,24.0,1651833938.1801043
13,24.0,1651833938.2825615
14,24.0,1651833938.3849251
15,24.0,1651833938.4835565
16,24.0,1651833938.585803
17,24.0,1651833938.684205
18,24.0,1651833938.7865536
19,24.0,1651833938.8889165
20,24.0,1651833938.9872882
21,24.0,1651833939.089569
22,24.0,1651833939.1921322
23,24.0,1651833939.2903104
24,24.0,1651833939.3927448
25,24.0,1651833939.4952216
26,24.0,1651833939.5935907
27,24.0,1651833939.6959035
28,24.0,1651833939.79815
29,24.0,1651833939.8965294
30,24.0,1651833939.9989154
31,24.0,1651833940.1011894
32,24.0,1651833940.1996534
33,24.0,1651833940.301845
34,24.0,1651833940.4043586
35,24.0,1651833940.502673
36,24.0,1651833940.6050525
37,24.0,1651833940.7075229
38,24.0,1651833940.8058674
39,24.0,1651833940.9082162
40,24.0,1651833941.006423
41,24.0,1651833941.1089115
42,24.0,1651833941.2113318
43,24.0,1651833941.3097277
44,24.0,1651833941.4123173
45,24.0,1651833941.514241
46,24.0,1651833941.6127257
47,24.0,1651833941.7151034
48,24.0,1651833941.8172832
49,24.0,1651833941.9157708
50,24.0,1651833942.0182886
51,24.0,1651833942.1203582
52,24.0,1651833942.2188075
53,24.0,1651833942.321171
54,24.0,1651833942.4236255
55,24.0,1651833942.5218773
56,24.0,1651833942.624344
57,24.0,1651833942.726562
58,24.0,1651833942.8250706
59,24.0,1651833942.9274735
60,24.0,1651833943.029804
61,24.0,1651833943.1281765
62,24.0,1651833943.2305346
63,24.0,1651833943.328946
64,24.0,1651833943.431192
65,24.0,1651833943.533565
66,24.0,1651833943.6319659
67,24.0,1651833943.734193
68,24.0,1651833943.836523
69,24.0,1651833943.9350302
70,24.0,1651833944.0373838
71,24.0,1651833944.1396096
72,24.0,1651833944.238132
73,24.0,1651833944.340509
74,24.0,1651833944.4427817
75,24.0,1651833944.5410564
76,24.0,1651833944.6436253
77,24.0,1651833944.746115
78,24.0,1651833944.844308
79,24.0,1651833944.946715
80,24.0,1651833945.048967
81,24.0,1651833945.1474445
82,24.0,1651833945.2498505
83,24.0,1651833945.348072
84,24.0,1651833945.4504838
85,24.0,1651833945.5528085
86,24.0,1651833945.6512368
87,24.0,1651833945.7535298
88,24.0,1651833945.856068
89,24.0,1651833945.9543028
90,24.0,1651833946.0566726
91,24.0,1651833946.1589026
92,24.0,1651833946.2573466
93,24.0,1651833946.3598738
94,24.0,1651833946.4621913
95,24.0,1651833946.5605376
96,24.0,1651833946.662668
97,24.0,1651833946.765021
98,24.0,1651833946.863531
99,24.0,1651833946.965974
100,24.0,1651833947.0681496
101,24.0,1651833947.1665113
102,24.0,1651833947.2689626
103,24.0,1651833947.3712578
104,24.0,1651833947.4695988
105,24.0,1651833947.5719619
106,24.0,1651833947.6742687
107,24.0,1651833947.772802
108,24.0,1651833947.8752453
109,24.0,1651833947.9735277
110,24.0,1651833948.075958
111,24.0,1651833948.1782544
112,24.0,1651833948.2765338
113,24.0,1651833948.3789182
114,24.0,1651833948.4812305
115,24.0,1651833948.5797656
116,24.0,1651833948.682083
117,24.0,1651833948.7844155
118,24.0,1651833948.8827991
119,24.0,1651833948.9850135
120,24.0,1651833949.0874102
121,24.0,1651833949.1857877
122,24.0,1651833949.2881536
123,24.0,1651833949.390466
124,24.0,1651833949.4889858
125,24.0,1651833949.5913658
126,24.0,1651833949.6935484
127,24.0,1651833949.7920244
128,24.0,1651833949.8943975
129,24.0,1651833949.9927628
130,24.0,1651833950.0952182
131,24.0,1651833950.1975052
132,24.0,1651833950.2957566
133,24.0,1651833950.3981383
134,24.0,1651833950.5004804
135,24.0,1651833950.5989888
136,24.0,1651833950.7012894
137,24.0,1651833950.8036568
138,24.0,1651833950.9020889
139,24.0,1651833951.0043156
140,24.0,1651833951.106673
141,24.0,1651833951.2051463
142,24.0,1651833951.3075194
143,24.0,1651833951.4097724
144,24.0,1651833951.5082524
145,24.0,1651833951.61039
146,24.0,1651833951.7130523
147,24.0,1651833951.811182
148,24.0,1651833951.9136293
149,24.0,1651833952.0160744
150,24.0,1651833952.114275
151,24.0,1651833952.21681
152,24.0,1651833952.3151214
153,24.0,1651833952.4173048
154,24.0,1651833952.5197082
155,24.0,1651833952.6180265
156,24.0,1651833952.7203956
157,24.0,1651833952.8227222
158,24.0,1651833952.9212048
159,24.0,1651833953.023555
160,24.0,1651833953.125969
161,24.0,1651833953.2241864
162,24.0,1651833953.3265252
163,24.0,1651833953.4289112
164,24.0,1651833953.5272691
165,24.0,1651833953.6297839
166,24.0,1651833953.7320988
167,24.0,1651833953.8305447
168,24.0,1651833953.93273
169,24.0,1651833954.0350394
170,24.0,1651833954.133568
171,24.0,1651833954.2358387
172,24.0,1651833954.3382976
173,24.0,1651833954.4365468
174,24.0,1651833954.5389361
175,24.0,1651833954.6372101
176,24.0,1651833954.7398124
177,24.0,1651833954.8419309
178,24.0,1651833954.9403086
179,24.0,1651833955.0428333
180,24.0,1651833955.145099
181,24.0,1651833955.243741
182,24.0,1651833955.3459623
183,24.0,1651833955.44819
184,24.0,1651833955.546661
185,24.0,1651833955.6490939
186,24.0,1651833955.7512376
187,24.0,1651833955.8498783
188,24.0,1651833955.9520566
189,24.0,1651833956.054373
190,24.0,1651833956.152628
191,24.0,1651833956.2551656
192,24.0,1651833956.3574593
193,24.0,1651833956.4557054
194,24.0,1651833956.5581856
195,24.0,1651833956.6605103
196,24.0,1651833956.7590337
197,24.0,1651833956.8612573
198,24.0,1651833956.9596372
199,24.0,1651833957.0620208
200,24.0,1651833957.1644518
201,24.0,1651833957.2627766
202,24.0,1651833957.3653338
203,24.0,1651833957.4675672
204,24.0,1651833957.565971
205,24.0,1651833957.6688087
206,24.0,1651833957.7705064
207,24.0,1651833957.8688846
208,24.0,1651833957.9712405
209,24.0,1651833958.073607
210,24.0,1651833958.1719728
211,24.0,1651833958.2744133
212,24.0,1651833958.3768132
213,24.0,1651833958.4751663
214,24.0,1651833958.5774245
215,24.0,1651833958.67984
216,24.0,1651833958.7782285
217,24.0,1651833958.8804502
218,24.0,1651833958.9830136
219,24.0,1651833959.0812907
220,24.0,1651833959.183284
221,24.0,1651833959.2818732
222,24.0,1651833959.3843827
223,24.0,1651833959.486721
224,24.0,1651833959.5850294
225,24.0,1651833959.6874418
226,24.0,1651833959.7896857
227,24.0,1651833959.8882723
228,24.0,1651833959.9904203
229,24.0,1651833960.092807
230,24.0,1651833960.1913126
231,24.0,1651833960.293584
232,24.0,1651833960.3959236
233,24.0,1651833960.4943502
234,24.0,1651833960.596634
235,24.0,1651833960.6990712
236,24.0,1651833960.79745
237,24.0,1651833960.8998013
238,24.0,1651833961.0021152
239,24.0,1651833961.1004071
240,24.0,1651833961.2028158
241,24.0,1651833961.3052227
242,24.0,1651833961.4035547
243,24.0,1651833961.5058568
244,24.0,1651833961.604183
245,24.0,1651833961.706544
246,24.0,1651833961.8090878
247,24.0,1651833961.9073155
248,24.0,1651833962.0100772
249,24.0,1651833962.112232
250,24.0,1651833962.2103732
251,24.0,1651833962.3128603
252,24.0,1651833962.4151819
253,24.0,1651833962.5135858
254,24.0,1651833962.616006
255,24.0,1651833962.7181916
256,24.0,1651833962.8168435
257,24.0,1651833962.9190571
258,24.0,1651833963.021422
259,24.0,1651833963.119665
260,24.0,1651833963.2222843
261,24.0,1651833963.324436
262,24.0,1651833963.4226468
263,24.0,1651833963.525184
264,23.5,1651833963.6275337
265,23.25,1651833963.7259853
266,23.12,1651833963.828456
267,22.56,1651833963.9266987
268,21.78,1651833964.028831
269,21.39,1651833964.1313894
270,20.7,1651833964.2298014
271,20.35,1651833964.3320572
272,20.17,1651833964.4343164
273,20.09,1651833964.5327384
274,20.04,1651833964.635267
275,20.52,1651833964.7373815
276,20.76,1651833964.8358462
277,20.38,1651833964.938238
278,20.19,1651833965.0405824
279,20.1,1651833965.1389303
280,20.05,1651833965.2413414
281,20.52,1651833965.343697
282,20.76,1651833965.4419715
283,20.88,1651833965.5443623
284,21.44,1651833965.6468706
285,21.72,1651833965.7452419
286,21.86,1651833965.8474982
287,21.93,1651833965.9498794
288,22.47,1651833966.0482671
289,23.23,1651833966.1504297
290,23.62,1651833966.2488627
291,23.81,1651833966.3513162
292,23.9,1651833966.4536018
293,23.95,1651833966.5520897
294,23.98,1651833966.6543827
295,23.99,1651833966.7567832
296,23.99,1651833966.8550072
297,24.0,1651833966.9574792
298,24.0,1651833967.0597904
299,24.0,1651833967.1581497
300,24.0,1651833967.2602093
301,24.0,1651833967.362879
302,24.0,1651833967.4613454
303,24.0,1651833967.563773
304,24.0,1651833967.666121
305,24.0,1651833967.7645454
306,24.0,1651833967.8666964
307,24.0,1651833967.9691544
308,24.0,1651833968.067449
309,24.0,1651833968.1697426
310,24.0,1651833968.2722886
311,24.0,1651833968.3704963
312,24.0,1651833968.4728334
313,24.0,1651833968.5751364
314,24.0,1651833968.6735342
315,24.0,1651833968.7757878
316,24.0,1651833968.8742113
317,24.0,1651833968.9766786
318,24.0,1651833969.0790951
319,24.0,1651833969.1774244
320,24.0,1651833969.2799854
321,24.0,1651833969.3823202
322,24.0,1651833969.4805427
323,24.0,1651833969.5829308
324,24.0,1651833969.685088
325,24.0,1651833969.7837696
326,24.0,1651833969.8858855
327,24.0,1651833969.9883778
328,24.0,1651833970.0866754
329,24.0,1651833970.189005
330,24.0,1651833970.2913442
331,24.0,1651833970.3899024
332,24.0,1651833970.4922063
333,24.0,1651833970.5944016
334,24.0,1651833970.6928344
335,24.0,1651833970.7952232
336,24.0,1651833970.89753
337,24.0,1651833970.9955883
338,24.0,1651833971.0982804
339,24.0,1651833971.1967862
340,24.0,1651833971.2991586
341,24.0,1651833971.40131
342,24.0,1651833971.4997365
343,24.0,1651833971.6020143
344,24.0,1651833971.7043583
345,24.0,1651833971.8027098
346,24.0,1651833971.9051588
347,24.0,1651833972.0076687
348,24.0,1651833972.1061041
349,24.0,1651833972.2082326
350,24.0,1651833972.310539
351,24.0,1651833972.4091327
352,24.0,1651833972.511383
353,24.0,1651833972.613762
354,24.0,1651833972.7121916
355,24.0,1651833972.8145478
356,24.0,1651833972.9167752
357,24.0,1651833973.0152643
358,24.0,1651833973.1175394
359,24.0,1651833973.216074
360,24.0,1651833973.318266
361,24.0,1651833973.420508
362,24.0,1651833973.5189734
363,24.0,1651833973.6212673
364,24.0,1651833973.7237234
365,24.0,1651833973.821988
366,24.0,1651833973.9243863
367,24.0,1651833974.0268133
368,24.0,1651833974.1253226
369,24.0,1651833974.2275503
370,24.0,1651833974.3298776
371,24.0,1651833974.428115
372,24.0,1651833974.5305936
373,24.0,1651833974.6328435
374,24.0,1651833974.731247
375,24.0,1651833974.8337085
376,24.0,1651833974.9360309
377,24.0,1651833975.0343862
378,24.0,1651833975.1366284
379,24.0,1651833975.2391012
380,24.0,1651833975.3374674
381,24.0,1651833975.4397407
382,24.0,1651833975.5423355
383,24.0,1651833975.6405666
384,24.0,1651833975.743006
385,24.0,1651833975.841346
386,24.0,1651833975.944121
387,24.0,1651833976.0459557
388,24.0,1651833976.1442945
389,24.0,1651833976.24673
390,24.0,1651833976.3491766
391,24.0,1651833976.4474807
392,24.0,1651833976.550177
393,24.0,1651833976.6520097
394,24.0,1651833976.7505906
395,24.0,1651833976.8528082
396,24.0,1651833976.9552279
397,24.0,1651833977.0535886
398,24.0,1651833977.1559079
399,24.0,1651833977.2583535
400,24.0,1651833977.356633
401,24.0,1651833977.4591322
402,24.0,1651833977.5615058
403,24.0,1651833977.659764
404,24.0,1651833977.7621593
405,24.0,1651833977.8604527
406,24.0,1651833977.9627557
407,24.0,1651833978.065216
408,24.0,1651833978.163707
409,24.0,1651833978.265854
410,24.0,1651833978.368149
411,24.0,1651833978.4667819
412,24.0,1651833978.5690227
413,24.0,1651833978.671397
414,24.0,1651833978.7697232
415,24.0,1651833978.872029
416,24.0,1651833978.9745312
417,24.0,1651833979.0728762
418,24.0,1651833979.175331
419,24.0,1651833979.277684
420,24.0,1651833979.3758926
421,24.0,1651833979.4782937
422,24.0,1651833979.5806592
423,24.0,1651833979.6789618
424,24.0,1651833979.781278
425,24.0,1651833979.8836935
426,24.0,1651833979.9822125
427,24.0,1651833980.0845065
428,24.0,1651833980.183112
429,24.0,1651833980.2850742
430,24.0,1651833980.387728
431,24.0,1651833980.4858859
432,24.0,1651833980.588183
433,24.0,1651833980.6905224
434,24.0,1651833980.7891185
435,24.0,1651833980.891187
436,24.0,1651833980.993716
437,24.0,1651833981.0922046
438,24.0,1651833981.194416
439,24.0,1651833981.2968047
440,24.0,1651833981.3953319
441,24.0,1651833981.4975002
442,24.0,1651833981.6000354
443,24.0,1651833981.698203
444,24.0,1651833981.8005087
445,24.0,1651833981.9028487
446,24.0,1651833982.0012658
447,24.0,1651833982.103647
448,24.0,1651833982.2059393
449,24.0,1651833982.3044183
450,24.0,1651833982.406757
451,24.0,1651833982.5052567
452,24.0,1651833982.6074927
453,24.0,1651833982.7098694
454,24.0,1651833982.8083053
455,24.0,1651833982.9106066
456,24.0,1651833983.0129132
457,24.0,1651833983.1111674
458,24.0,1651833983.2138288
459,24.0,1651833983.3161314
